N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"75","FRACCIONAMIENTO INDUSTRIAL SECCIÓN SAN SEBASTIAN XHALA","CUAUTITLÁN IZCALLI","CARR TEOLOYUCAN AHORA 20 DE NOVIEMBRE ENTRE AV. RIO AYAPANGO AV. JESUS JIMÉNEZ GALLARDO, COL SAN SEBASTIÁN XHALA, CUAUTITLAN IZCALLI, MÉXICO, C. P. 54614.","MUNICIPALIZADO", 19.685977, -99.192453
"76","FRACCIONAMIENTO INDUSTRIAL SECCIÓN XHALA","CUAUTITLÁN IZCALLI","AV. 20 DE NOVIEMBRE ENTRE LA CALLE HUEHUETOCA Y CALLE FUNDIDORES COL INDUSTRIAL XHALA, CUAUTITLAN IZCALLI, MÉXICO, CP. 54714.","MUNICIPALIZADO", 19.686498, -99.184515
"77","PARQUE INDUSTRIAL CUAUTITLÁN","CUAUTITLÁN IZCALLI","AV. CALZADA DE GUADALUPE, CALLE DELFIN Y CALLE TIBURON, COL EL CERRITO. CUAUTITLÁN IZCALLI MÉXICO, C. P. 54879.","MUNICIPALIZADO", 19.667438, -99.191410
"78","PARQUE INDUSTRIAL CUAMATLA","CUAUTITLÁN IZCALLI","KM. 37.8 DE LA AUTOPISTA MÉXICO QUERÉTARO ENTRE LAS AV CONSTITUCIÓN, CALZADA LA VENTA Y CALLE UNIÓN, COL INDUSTRIAL CUAMATLA, CUAUTITLÁN IZCALLI MÉXICO, C.P. 54730.","MUNICIPALIZADO", 19.664903, -99.199868
"79","PARQUE INDUSTRIAL LA JOYA","CUAUTITLÁN IZCALLI","ENTRE AV LA JOYA. AV FERROCARRILES Y AV. UNIVERSIDAD COL EL INFIERNILLO, CUAUTITLAN IZCALLI, MÉXICO, C.P. 54878.","MUNICIPALIZADO", 19.657940, -99.174547
"80","PARQUE INDUSTRIAL LA LUZ","CUAUTITLÁN IZCALLI","CARR. MEXICO QUERÉTARO KM 41. COL LA LUZ, CUAUTITLÁN IZCALLI, MEXICO, C.P. 54730","MUNICIPALIZADO", 19.696756, -99.204764
"81","PARQUE INDUSTRIAL SAN MARTIN OBISPO","CUAUTITLÁN IZCALLI","CARR CHAΜΑΡΑ LECHERÍA KM. 2.5. COL SAN MARTIN OBISPO, CUAUTITLÁN IZCALLI, MÉXICO, C.P. 54763.","PRIVADO", 19.607879, -99.207041
"82","PARQUE INDUSTRIAL SAN MARTIN OBISPO II","CUAUTITLÁN IZCALLI","CARR. CHAMAPA LECHERÍA KM. 2.5. ENTRANDO POR LA CASETA, ENTRE AV. TEJOCOTES Y CALLE QUETZAL, COL SAN MARTIN OBISPO, CUAUTITLÁN IZCALLI, MÉXICO, C.P. 54763.","PRIVADO", 19.594962, -99.208438
"83","PARQUE INDUSTRIAL TRES RÍOS","CUAUTITLÁN IZCALLI","KM. 40 AUTOPISTA MÉXICO QUERETARO ENTRE EL FRACC. EX HACIENDA SAN MIGUEL Y JARDINES DE SAN MIGUEL. CUAUTITLÁN IZCALLI MÉXICO, C.P. 54712.","PRIVADO", 19.695456, -99.204587
"84","PARQUE MICROINDUSTRIAL CUAUTITLÁN IZCALLI","CUAUTITLÁN IZCALLI","AUTOPISTA MÉXICO QUERÉTARO KM 40, INDUSTRIAL XHALA, CUAUTITLÁN IZCALLI, MÉXICO, C.P. 54714.","PRIVADO", 19.689517, -99.200281
"85","PARQUE INDUSTRIAL CAMPUS CUAUTITLÁN I","CUAUTITLÁN IZCALLI","AV. CIENCIAS 13, COL PARQUE INDUSTRIAL LA JOYA, CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.667377, -99.191389
"86","CPA LOGISTIC CENTER SAN MARTIN OBISPO","CUAUTITLÁN IZCALLI","AUTOPISTA CHAMAPA-LECHERÍA KM 2.5, CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.606550, -99.206113
"87","PARQUE INDUSTRIAL CUATITLAN (OCPL)","CUAUTITLÁN IZCALLI","KM 1 CARRETERA TEPOTZOTLÁN LA AURORA, COLONIA AXIOTLAN CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.673322, -99.233486
"88","PROLOGIS ENCINO LOGISTIC CENTER","CUAUTITLÁN IZCALLI","AV. TEJOCOTES S/N, COLONIA EX EJIDO DE SAN MARTIN OBISPO, CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.604939, -99.211979
"89","PROLOGIS IZCALLI","CUAUTITLÁN IZCALLI","CARRETERA TEOLOYUCAN-CUAUTITLAN KM 25. COL SANTA BÁRBARA, 54713 CUATITLÁN IZCALLI MEXICO.","PRIVADO", 19.709558, -99.193585
"90","PROLOGIS MEZQUITE LOGISTIC CENTER","CUAUTITLAN IZCALLI","ANTIGUO CAMINO A LA LUMBRERA S/N. SAN MARTÍN TEPETLIXPAN CUAUTITLÁN IZCALLI. CP 54763 MEXICO.","PRIVADO", 19.613446, -99.229208
"91","LA LAGUNA INDUSTRIAL PARK","CUAUTITLÁN IZCALLI","AV. HUEHUETOCA S/N, AXOTLAN, 54719 CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.687262, -99.2127005
"92","PROLOGIS PARK IZCALLI IV","CUAUTITLÁN IZCALLI","CARRETARA A TEOLOYUCAN KM 25 PROLOGIS PARK IZCALLI 4. SANTA BARBARA, 54713 CUAUTITLÁN IZCALLI MEX.","PRIVADO", 19.714185, -99.194221
"93","PROLOGIS TERMINAL INTERMODAL LADERO","CUAUTITLÁN IZCALLI","CALLE EL PERAL S/N, SANTA BARBARA, 54713 CUAUTITLÁN IZCALLI, MÉXICO","PRIVADO", 19.680502, -99.190768
"94","PUENTE MÉXICO I","CUAUTITLÁN IZCALLI","CALLE TLALOCAN 26. AXÓTLAN, 54619 CUAUTITLAN IZCALLI, MÉXICO.","PRIVADO", 19.700753, -99.229399
"95","PUENTE MÉXICO II","CUAUTITLÁN IZCALLI","CALLE AYOTL S/N AXOTLÁN CUAUTITLÁN IZCALLI 54715 MÉXICO","PRIVADO", 19.70023, -99.224906
"96","PUENTE MÉXICO III","CUAUTITLÁN IZCALLI","CALLE AYOTL S/N AXOTLAN CUAUTITLÁN IZCALLI 54715 MÉXICO","PRIVADO", 19.70023, -99.224906
"97","XHALA PARK","CUAUTITLÁN IZCALLI","TEOLOYUCAN 90. EJIDO EL SOCORRO,SAN SEBASTIAN XHALA, CUAUTITLÁN IZCALLI","PRIVADO", 19.688962, -99.180503
"98","WORLD PARK CUAUTITLÁN","CUAUTITLÁN IZCALLI","CARRETARA TEOLOYUCAN KM 12.5. SAN MATEO IXTACALCO, 54840 CUAUTITLÁN IZCALLI, MEX.","PRIVADO", 19.704191, -99.190854
"99","PARQUE INDUSTRIAL TECÁMAC","TECAMAC","CARR. JALTOCAN-ECАТЕРЕС КМ. 44.3 Y AV. MEXIQUENSE, COL. LOS HEROES TECAMAC, MÉXICO C.P. 55764.","PRIVADO", 19.701725, -99.052761
"100","ZONA INDUSTRIAL TECAMAC ZONA NORTE","TECAMAC","CARRETERA FEDERAL PACHUCA MÉXICO, KM 48.4, COL. LOS REYES ACOZAC, TECAMAC, MÉXICO, C.P. 55755.","MUNICIPALIZADO", 19.775, -98.975
"101","CONJUNTO INDUSTRIAL CUAUTITLAN I","CUAUTITLÁN","CARR MEXICO-CUAUTITLÁN KM. 32 COL LOMA BONITA, CUAUTITLAN MÁXICO. C.P. 54800.","PRIVADO", 19.649561, -99.183818
"102","CONJUNTO INDUSTRIAL CUAUTITLAN II","CUAUTITLÁN","CARR: MÉXICO-CUAUTITLÁN KM. 31.5 COL LOMA BONITA, CUAUTITLAN MÉXICO, C.P. 54800.","PRIVADO", 19.650340, -99.183631
"103","PARQUE INDUSTRIAL LA PALMA","CUAUTITLÁN","AV. LA JOYA, VENUSTIANO CARRANZA Y POLITÁCNICO COL. SAN JOSE CUAUTITLÁN, MÉXICO, C.P. 54870.","MUNICIPALIZADO", 19.802930, -98.969699
"104","PARQUE INDUSTRIAL EL TERREMOTO","CUAUTITLÁN","CARRETERA CUAUTITLÁN-TULTEPEC LOTE B. C RANCHO, EL TERREMOTO CUAUTITLÁN MÉXICO, CP. 54850.","PRIVADO", 19.682403, -99.148337
"105","CPA LOGISTIC CENTER CUAUTITLAN","CUAUTITLÁN","CALZADA LA VENTANA, AV. LIC. ARTURO MONTIEL ROJAS, GALAXIA CUAUTITLAN, MÉXICO.","PRIVADO", 19.684236, -99.150967
"106","CPA LOGISTIC CENTER ESTADO DE MEXICO","CUAUTITLÁN","CARRETARA CUAUTITLÁN ZUMPANGO, CASI ESQUINA CON CARRETERA JALTENGO, TEOLOYUCAN, CUAUTITLAN IZCALLI, MÉXICO.","PRIVADO", 19.729954, -99.137099
"107","CUAUTIPARK I","CUAUTITLÁN","LOTE NO. 1 CALLE JAMES WATT S/N COL. PARQUE INDUSTRIAL. CUAUTITLÁN, MÉXICO.","PRIVADO", 19.661297, -99.185389
